Function,Algorithm,MaxIterations,NumRuns,AvgFitness,StdFitness,MinFitness,MaxFitness,MedianFitness
Sphere,Random,1000,30,3.964472e+04,2.948338e+03,3.201014e+04,4.495858e+04,3.982056e+04
Sphere,PSO,1000,30,8.951532e-17,3.695548e-16,6.420752e-21,2.060949e-15,5.459558e-19
Sphere,GWO,1000,30,1.345370e-162,4.445517e-162,2.179709e-169,2.432309e-161,6.482675e-165
Sphere,WOA,1000,30,3.102835e-212,0.000000e+00,4.295272e-227,9.208052e-211,4.791760e-220
Sphere,CBO,1000,30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
Sphere,LSCBO-Fixed,1000,30,7.927825e-07,2.402743e-07,3.724578e-07,1.319138e-06,7.904290e-07
Sum Squares,Random,1000,30,5.530399e+03,3.911085e+02,4.733887e+03,6.273490e+03,5.558706e+03
Sum Squares,PSO,1000,30,1.333333e+01,5.617433e+01,4.335898e-23,3.000000e+02,5.379295e-19
Sum Squares,GWO,1000,30,1.350483e-164,0.000000e+00,9.440082e-169,3.079940e-163,5.782197e-167
Sum Squares,WOA,1000,30,5.147734e-214,0.000000e+00,8.281145e-229,8.725434e-213,1.021052e-220
Sum Squares,CBO,1000,30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
Sum Squares,LSCBO-Fixed,1000,30,9.976439e-06,4.309462e-06,4.118991e-06,2.357178e-05,9.013383e-06
Zakharov,Random,1000,30,3.914729e+02,5.388291e+01,2.941127e+02,5.115363e+02,3.878908e+02
Zakharov,PSO,1000,30,7.433781e+01,6.288020e+01,5.427235e-02,2.636772e+02,5.687885e+01
Zakharov,GWO,1000,30,1.935874e-31,5.783975e-31,2.450281e-36,2.857943e-30,3.702360e-33
Zakharov,WOA,1000,30,4.586932e+02,9.445251e+01,2.641592e+02,7.032529e+02,4.609289e+02
Zakharov,CBO,1000,30,5.448535e-210,0.000000e+00,0.000000e+00,1.634560e-208,0.000000e+00
Zakharov,LSCBO-Fixed,1000,30,4.993212e-02,1.277140e-01,6.400622e-04,6.295714e-01,6.590431e-03
Powell,Random,1000,30,4.111043e+03,8.107957e+02,1.711684e+03,5.685014e+03,4.204102e+03
Powell,PSO,1000,30,1.750323e+01,3.578757e+01,1.133062e-04,1.039004e+02,3.272612e-04
Powell,GWO,1000,30,6.538278e-06,7.549932e-06,4.067811e-08,2.730924e-05,3.134778e-06
Powell,WOA,1000,30,1.419883e-06,2.582230e-06,1.190819e-30,1.126898e-05,9.590605e-09
Powell,CBO,1000,30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
Powell,LSCBO-Fixed,1000,30,3.253247e-03,6.934950e-04,1.404134e-03,4.863652e-03,3.239546e-03
Quartic,Random,1000,30,4.282839e+01,5.636449e+00,2.929973e+01,5.326059e+01,4.322934e+01
Quartic,PSO,1000,30,1.767725e-02,6.761110e-03,6.625777e-03,3.317127e-02,1.751554e-02
Quartic,GWO,1000,30,1.111806e-03,6.859950e-04,2.090500e-04,3.146820e-03,8.649804e-04
Quartic,WOA,1000,30,1.285311e-03,1.684159e-03,1.380171e-05,8.345336e-03,5.771252e-04
Quartic,CBO,1000,30,4.402377e-05,4.174977e-05,4.473596e-06,2.003796e-04,2.927373e-05
Quartic,LSCBO-Fixed,1000,30,1.737448e-02,5.861157e-03,5.549222e-03,3.221367e-02,1.762687e-02
Rosenbrock,Random,1000,30,9.096439e+07,1.605595e+07,5.018407e+07,1.188976e+08,9.493547e+07
Rosenbrock,PSO,1000,30,1.404085e+02,5.401276e+02,2.827976e-02,3.037967e+03,2.194844e+01
Rosenbrock,GWO,1000,30,2.687092e+01,5.268680e-01,2.584526e+01,2.793883e+01,2.711278e+01
Rosenbrock,WOA,1000,30,2.714680e+01,4.412509e-01,2.660835e+01,2.871910e+01,2.699272e+01
Rosenbrock,CBO,1000,30,2.898633e+01,1.319578e-02,2.895070e+01,2.900000e+01,2.899244e+01
Rosenbrock,LSCBO-Fixed,1000,30,7.232964e+01,9.186518e+01,8.340731e-01,4.047772e+02,2.684405e+01
Rastrigin,Random,1000,30,3.372032e+02,1.256413e+01,3.100281e+02,3.586870e+02,3.403985e+02
Rastrigin,PSO,1000,30,6.322001e+01,1.701047e+01,3.382856e+01,1.154858e+02,6.321525e+01
Rastrigin,GWO,1000,30,1.368634e+00,3.856224e+00,0.000000e+00,1.930571e+01,0.000000e+00
Rastrigin,WOA,1000,30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
Rastrigin,CBO,1000,30,1.885059e+02,9.560025e+01,0.000000e+00,2.640300e+02,2.315699e+02
Rastrigin,LSCBO-Fixed,1000,30,1.816124e+02,4.515563e+01,8.954649e+01,2.736122e+02,1.761072e+02
Griewank,Random,1000,30,3.561561e+02,4.140293e+01,2.005861e+02,4.063901e+02,3.674288e+02
Griewank,PSO,1000,30,1.769558e-02,1.960051e-02,4.107825e-15,7.339932e-02,1.231607e-02
Griewank,GWO,1000,30,3.191948e-03,8.390350e-03,0.000000e+00,3.805864e-02,0.000000e+00
Griewank,WOA,1000,30,9.245359e-03,3.256810e-02,0.000000e+00,1.687824e-01,0.000000e+00
Griewank,CBO,1000,30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
Griewank,LSCBO-Fixed,1000,30,7.057346e-03,9.753184e-03,1.833438e-08,4.180945e-02,7.413012e-08
Ackley,Random,1000,30,1.970731e+01,1.590038e-01,1.928851e+01,1.994736e+01,1.972673e+01
Ackley,PSO,1000,30,1.303064e+00,8.382672e-01,1.284350e-11,2.956963e+00,1.501747e+00
Ackley,GWO,1000,30,7.312669e-15,8.862025e-16,3.996803e-15,7.549517e-15,7.549517e-15
Ackley,WOA,1000,30,3.878379e-15,2.509355e-15,4.440892e-16,7.549517e-15,3.996803e-15
Ackley,CBO,1000,30,2.338870e-15,1.772405e-15,4.440892e-16,3.996803e-15,3.996803e-15
Ackley,LSCBO-Fixed,1000,30,1.821931e+01,9.405733e-01,1.541072e+01,1.942145e+01,1.831085e+01
Schwefel,Random,1000,30,8.335055e+03,1.898175e+02,7.932549e+03,8.706129e+03,8.339496e+03
Schwefel,PSO,1000,30,3.870490e+03,5.823504e+02,2.289819e+03,5.171961e+03,3.862815e+03
Schwefel,GWO,1000,30,6.421570e+03,1.034330e+03,4.695629e+03,8.886993e+03,6.322977e+03
Schwefel,WOA,1000,30,4.732684e+02,1.044630e+03,5.529413e-03,5.530841e+03,2.486726e+00
Schwefel,CBO,1000,30,9.443471e+03,5.501569e+02,8.400160e+03,1.050551e+04,9.362432e+03
Schwefel,LSCBO-Fixed,1000,30,4.188176e+03,9.090656e+02,1.144976e+03,5.389220e+03,4.392195e+03
Six-Hump Camel,Random,1000,30,-1.029098e+00,2.221640e-03,-1.031303e+00,-1.022897e+00,-1.029994e+00
Six-Hump Camel,PSO,1000,30,-1.031628e+00,0.000000e+00,-1.031628e+00,-1.031628e+00,-1.031628e+00
Six-Hump Camel,GWO,1000,30,-1.031628e+00,2.545183e-09,-1.031628e+00,-1.031628e+00,-1.031628e+00
Six-Hump Camel,WOA,1000,30,-1.031628e+00,9.876921e-11,-1.031628e+00,-1.031628e+00,-1.031628e+00
Six-Hump Camel,CBO,1000,30,-1.029277e+00,8.470261e-03,-1.031628e+00,-9.856428e-01,-1.031444e+00
Six-Hump Camel,LSCBO-Fixed,1000,30,-9.772175e-01,2.035872e-01,-1.031628e+00,-2.154638e-01,-1.031628e+00
Levy,Random,1000,30,1.099993e+02,1.012616e+01,8.300741e+01,1.262791e+02,1.127202e+02
Levy,PSO,1000,30,8.135402e-01,9.116572e-01,3.282015e-22,2.996968e+00,5.438523e-01
Levy,GWO,1000,30,1.203532e+00,2.262799e-01,7.280943e-01,1.763300e+00,1.179462e+00
Levy,WOA,1000,30,2.214089e-01,2.730677e-01,7.947681e-03,1.162085e+00,1.393592e-01
Levy,CBO,1000,30,3.094512e+00,1.985147e-01,2.346223e+00,3.259454e+00,3.151645e+00
Levy,LSCBO-Fixed,1000,30,4.306029e+01,1.321100e+01,1.588516e+01,7.299595e+01,4.341548e+01
Dixon-Price,Random,1000,30,6.093984e+05,1.167177e+05,2.298975e+05,8.388483e+05,6.183445e+05
Dixon-Price,PSO,1000,30,4.097309e+01,9.654703e+01,6.666667e-01,3.210000e+02,6.666667e-01
Dixon-Price,GWO,1000,30,6.666729e-01,2.001835e-05,6.666670e-01,6.667617e-01,6.666675e-01
Dixon-Price,WOA,1000,30,6.668115e-01,1.505810e-04,6.666671e-01,6.672995e-01,6.667785e-01
Dixon-Price,CBO,1000,30,9.927562e-01,7.931517e-03,9.695136e-01,9.999816e-01,9.951173e-01
Dixon-Price,LSCBO-Fixed,1000,30,5.112489e-01,2.817872e-01,2.626885e-04,6.669045e-01,6.666777e-01
Michalewicz,Random,1000,30,-9.466079e+00,4.977352e-01,-1.110836e+01,-8.745683e+00,-9.390339e+00
Michalewicz,PSO,1000,30,-2.441958e+01,1.283237e+00,-2.649283e+01,-2.156685e+01,-2.490131e+01
Michalewicz,GWO,1000,30,-1.255372e+01,4.228819e+00,-2.135257e+01,-8.235949e+00,-1.030540e+01
Michalewicz,WOA,1000,30,-1.212959e+01,1.463306e+00,-1.487150e+01,-8.828776e+00,-1.229546e+01
Michalewicz,CBO,1000,30,-9.340673e+00,8.353983e-01,-1.114260e+01,-7.617604e+00,-9.328233e+00
Michalewicz,LSCBO-Fixed,1000,30,-2.288636e+01,1.013436e+00,-2.583292e+01,-2.118512e+01,-2.280893e+01
Styblinski-Tang,Random,1000,30,-6.836350e+02,2.978419e+01,-7.591788e+02,-6.369718e+02,-6.779018e+02
