Function,Algorithm,Run,Fitness
Sphere,Random,1,4.069799e+04
Sphere,Random,2,4.146957e+04
Sphere,Random,3,3.970288e+04
Sphere,Random,4,3.586627e+04
Sphere,Random,5,3.447592e+04
Sphere,Random,6,3.767842e+04
Sphere,Random,7,4.076595e+04
Sphere,Random,8,3.743424e+04
Sphere,Random,9,3.596958e+04
Sphere,Random,10,3.619975e+04
Sphere,Random,11,3.793273e+04
Sphere,Random,12,4.483015e+04
Sphere,Random,13,3.201014e+04
Sphere,Random,14,3.859987e+04
Sphere,Random,15,3.813793e+04
Sphere,Random,16,4.311687e+04
Sphere,Random,17,3.907784e+04
Sphere,Random,18,3.974308e+04
Sphere,Random,19,4.070827e+04
Sphere,Random,20,4.345341e+04
Sphere,Random,21,4.049930e+04
Sphere,Random,22,4.178630e+04
Sphere,Random,23,4.118092e+04
Sphere,Random,24,4.052344e+04
Sphere,Random,25,4.338927e+04
Sphere,Random,26,4.495858e+04
Sphere,Random,27,3.813186e+04
Sphere,Random,28,4.224903e+04
Sphere,Random,29,3.885392e+04
Sphere,Random,30,3.989805e+04
Sphere,PSO,1,2.157515e-16
Sphere,PSO,2,7.464269e-20
Sphere,PSO,3,5.419404e-19
Sphere,PSO,4,1.533053e-16
Sphere,PSO,5,3.267764e-18
Sphere,PSO,6,1.229659e-19
Sphere,PSO,7,3.363296e-19
Sphere,PSO,8,5.499712e-19
Sphere,PSO,9,3.715184e-20
Sphere,PSO,10,1.177195e-19
Sphere,PSO,11,1.246493e-19
Sphere,PSO,12,3.129772e-18
Sphere,PSO,13,2.776692e-19
Sphere,PSO,14,5.651811e-20
Sphere,PSO,15,2.282174e-17
Sphere,PSO,16,3.448020e-17
Sphere,PSO,17,6.110106e-20
Sphere,PSO,18,1.418778e-19
Sphere,PSO,19,1.945371e-17
Sphere,PSO,20,2.458417e-17
Sphere,PSO,21,1.516774e-18
Sphere,PSO,22,1.310098e-16
Sphere,PSO,23,2.060949e-15
Sphere,PSO,24,3.242679e-19
Sphere,PSO,25,9.191340e-20
Sphere,PSO,26,2.568722e-19
Sphere,PSO,27,1.383358e-18
Sphere,PSO,28,6.420752e-21
Sphere,PSO,29,2.859521e-18
Sphere,PSO,30,7.825419e-18
Sphere,GWO,1,6.879949e-168
Sphere,GWO,2,2.057937e-165
Sphere,GWO,3,4.994958e-167
Sphere,GWO,4,3.909528e-164
Sphere,GWO,5,2.768287e-162
Sphere,GWO,6,1.159893e-165
Sphere,GWO,7,1.614007e-165
Sphere,GWO,8,9.915898e-163
Sphere,GWO,9,1.716638e-163
Sphere,GWO,10,6.687474e-165
Sphere,GWO,11,1.103266e-166
Sphere,GWO,12,1.027549e-164
Sphere,GWO,13,3.060032e-168
Sphere,GWO,14,1.276049e-163
Sphere,GWO,15,1.674881e-164
Sphere,GWO,16,3.523120e-166
Sphere,GWO,17,2.823923e-162
Sphere,GWO,18,9.555395e-167
Sphere,GWO,19,5.203097e-164
Sphere,GWO,20,8.939130e-162
Sphere,GWO,21,2.179709e-169
Sphere,GWO,22,7.851335e-165
Sphere,GWO,23,7.229651e-167
Sphere,GWO,24,8.608028e-166
Sphere,GWO,25,2.187141e-166
Sphere,GWO,26,2.432309e-161
Sphere,GWO,27,2.141819e-164
Sphere,GWO,28,6.277876e-165
Sphere,GWO,29,5.935288e-167
Sphere,GWO,30,4.876506e-164
Sphere,WOA,1,3.445997e-214
Sphere,WOA,2,6.874821e-217
Sphere,WOA,3,1.463554e-221
Sphere,WOA,4,4.498114e-215
Sphere,WOA,5,3.104098e-213
Sphere,WOA,6,6.470277e-221
Sphere,WOA,7,6.546810e-213
Sphere,WOA,8,4.323187e-217
Sphere,WOA,9,7.021301e-222
Sphere,WOA,10,3.342438e-223
Sphere,WOA,11,5.042738e-222
Sphere,WOA,12,4.732476e-218
Sphere,WOA,13,5.360928e-219
Sphere,WOA,14,5.211330e-222
Sphere,WOA,15,1.508801e-216
Sphere,WOA,16,4.466703e-218
Sphere,WOA,17,1.582681e-217
Sphere,WOA,18,6.297490e-220
Sphere,WOA,19,4.295272e-227
Sphere,WOA,20,1.317500e-220
Sphere,WOA,21,3.320540e-223
Sphere,WOA,22,9.599518e-224
Sphere,WOA,23,3.286031e-220
Sphere,WOA,24,9.795537e-224
Sphere,WOA,25,3.230298e-220
Sphere,WOA,26,1.913279e-216
Sphere,WOA,27,8.851285e-222
Sphere,WOA,28,1.539603e-221
Sphere,WOA,29,9.208052e-211
Sphere,WOA,30,1.847298e-217
Sphere,CBO,1,0.000000e+00
Sphere,CBO,2,0.000000e+00
Sphere,CBO,3,0.000000e+00
Sphere,CBO,4,0.000000e+00
Sphere,CBO,5,0.000000e+00
Sphere,CBO,6,0.000000e+00
Sphere,CBO,7,0.000000e+00
Sphere,CBO,8,0.000000e+00
Sphere,CBO,9,0.000000e+00
Sphere,CBO,10,0.000000e+00
Sphere,CBO,11,0.000000e+00
Sphere,CBO,12,0.000000e+00
Sphere,CBO,13,0.000000e+00
Sphere,CBO,14,0.000000e+00
Sphere,CBO,15,0.000000e+00
Sphere,CBO,16,0.000000e+00
Sphere,CBO,17,0.000000e+00
Sphere,CBO,18,0.000000e+00
Sphere,CBO,19,0.000000e+00
Sphere,CBO,20,0.000000e+00
Sphere,CBO,21,0.000000e+00
Sphere,CBO,22,0.000000e+00
Sphere,CBO,23,0.000000e+00
Sphere,CBO,24,0.000000e+00
Sphere,CBO,25,0.000000e+00
Sphere,CBO,26,0.000000e+00
Sphere,CBO,27,0.000000e+00
Sphere,CBO,28,0.000000e+00
Sphere,CBO,29,0.000000e+00
Sphere,CBO,30,0.000000e+00
