Mode,Scale,Seed,Makespan,AvgLoad,MaxLoad,MinLoad,LoadBalanceRatio
SingleObjective (default),100,42,110.7200,333.7052,592.4974,183.3380,1.7755
SingleObjective (default),100,123,99.1627,313.1010,614.8077,71.8173,1.9636
SingleObjective (default),100,456,100.5440,293.0513,563.3916,74.1770,1.9225
SingleObjective (default),100,789,102.1180,341.9671,755.0455,24.4180,2.2079
SingleObjective (default),100,1024,100.0660,321.7845,693.1076,67.3614,2.1539
SingleObjective (default),500,42,172.3280,374.4725,1228.6130,16.4060,3.2809
SingleObjective (default),500,123,163.3900,371.8279,1432.2427,21.8247,3.8519
SingleObjective (default),500,456,173.0040,380.6075,2088.9001,39.7020,5.4883
SingleObjective (default),500,789,153.6780,389.3160,1613.2020,27.9171,4.1437
SingleObjective (default),500,1024,160.9940,375.7970,1735.5933,12.3773,4.6184
SingleObjective (default),1000,42,193.2860,391.6047,1724.8520,21.4228,4.4046
SingleObjective (default),1000,123,208.5480,406.5988,2114.1260,25.0620,5.1995
SingleObjective (default),1000,456,195.6167,392.5905,2748.3043,16.1440,7.0004
SingleObjective (default),1000,789,214.4240,416.6741,1914.8260,14.1647,4.5955
SingleObjective (default),1000,1024,232.6000,409.8516,1679.1363,12.6890,4.0969
SingleObjective (default),2000,42,250.8780,422.8918,3716.7320,14.1720,8.7888
SingleObjective (default),2000,123,234.9483,425.0161,3976.7997,7.2073,9.3568
SingleObjective (default),2000,456,263.6820,430.2543,1945.2420,11.5847,4.5211
SingleObjective (default),2000,789,233.5320,414.2770,2274.2093,14.5890,5.4896
SingleObjective (default),2000,1024,225.5300,406.3313,3599.8900,11.6604,8.8595
