Mode,Scale,Seed,Makespan,AvgLoad,MaxLoad,MinLoad,LoadBalanceRatio
MultiObjective,100,42,112.5900,338.0461,663.2827,65.5510,1.9621
MultiObjective,100,123,93.1720,311.8848,572.5527,54.7795,1.8358
MultiObjective,100,456,95.5380,300.4134,555.0696,30.1733,1.8477
MultiObjective,100,789,100.1160,341.6724,731.8365,54.1840,2.1419
MultiObjective,100,1024,109.1600,337.7069,693.3342,47.4259,2.0531
MultiObjective,500,42,167.6827,393.7127,1833.0947,11.9668,4.6559
MultiObjective,500,123,153.0133,368.3746,2081.1103,12.6792,5.6494
MultiObjective,500,456,164.8793,388.7343,1811.9927,14.8060,4.6613
MultiObjective,500,789,151.5753,376.4847,1882.9583,33.2837,5.0014
MultiObjective,500,1024,168.1020,376.1098,2098.1827,13.5733,5.5786
MultiObjective,1000,42,195.7080,390.3606,2171.9047,9.3913,5.5638
MultiObjective,1000,123,201.5230,406.6841,3180.3817,17.8067,7.8203
MultiObjective,1000,456,200.4313,400.7554,2175.1327,9.9100,5.4276
MultiObjective,1000,789,199.7580,377.2747,2284.2770,25.7000,6.0547
MultiObjective,1000,1024,206.5060,399.5821,2084.4720,14.1213,5.2166
MultiObjective,2000,42,243.9780,418.7502,4153.2440,10.9752,9.9182
MultiObjective,2000,123,251.7400,413.5518,4307.5000,8.1893,10.4159
MultiObjective,2000,456,258.0780,411.0853,2510.7640,11.6400,6.1076
MultiObjective,2000,789,234.7340,406.4100,3949.8733,11.9953,9.7189
MultiObjective,2000,1024,237.6123,416.0624,4446.9787,7.6347,10.6882
