Scale,Seed,CBO_Makespan,LSCBO_Makespan,Improvement_Rate
100,42,925.64,718.14,22.42
100,123,809.32,633.96,21.67
100,456,938.31,667.60,28.85
100,789,738.75,543.03,26.49
100,1024,889.64,814.01,8.50
500,42,2232.62,1446.19,35.22
500,123,2120.18,1386.82,34.59
500,456,1705.68,1098.07,35.62
500,789,1704.28,1076.09,36.86
500,1024,1609.21,1093.52,32.05
1000,42,2786.20,2197.07,21.14
1000,123,2841.25,1888.91,33.52
1000,456,2814.92,1655.72,41.18
1000,789,3024.65,1714.33,43.32
1000,1024,2728.81,1616.04,40.78
2000,42,3104.40,2646.23,14.76
2000,123,3102.33,3004.25,3.16
2000,456,3052.13,2333.42,23.55
2000,789,3402.19,2910.37,14.46
2000,1024,3247.87,2358.74,27.38
